fecha,n_orden,especie,variedad,motivo,producto,n_app_txt,ingrediente,dosis,unidad_dosis,vol_total,gasto_total,unidad_gasto,tractor,maquina,aplicadores,car_etiqueta,car_agenda,car_mayor,fecha_viable,t_max,t_min,hr,viento,sector
2025-06-06,0,Cerezos,Santina,Control de hongos,Orius 43 SC,1 de 1,Tebuconazol,0.6,Kilogramos (kg),1700.0,10.2,kg,1,Pulverizadora,P.A.,10,5,10,2025-06-17,16.0,6.0,37.0,8.0,CEREZOS CORTE 1
2025-07-14,1,Cerezos,Santina,Rompe dormancia y adelanta floración,Nexus,1 de 3,"Cianamida 1,5%",3.0,Litros (L),1700.0,51.0,L,1,Pulverizadora,P.A.,0,0,0,2025-07-15,12.0,6.0,85.0,4.0,CEREZOS CORTE 1
2025-07-14,2,Cerezos,Santina,Coadyuvante,Break,No aplica,Tensioactivo organosilícico 2%,,Litros (L),1700.0,3.4,L,1,Pulverizadora,P.A.,0,0,0,2025-07-15,12.0,6.0,85.0,4.0,CEREZOS CORTE 1
2025-07-22,3,Cerezos,Santina,Protegen cultivos a bajas temperaturas,Biolife psychro 250,No aplica,Trichoderma atroviride y Bacillus,0.025,Kilogramos (kg),1700.0,0.425,kg,1,Pulverizadora,P.A.,0,0,0,2025-07-23,12.0,4.0,52.0,7.6,CEREZOS CORTE 1
2025-08-06,4,Cerezos,Santina,Regulador de crecimiento,Piriproxifen 100 EC,1 de 1,Piriproxifen,0.07,Litros (L),3400.0,2.38,L,1,Pulverizadora,P.A.,14,7,14,2025-08-21,12.0,4.0,64.0,9.0,CEREZOS CORTE 1
2025-08-06,5,Cerezos,Santina,Arañita,Aceite Bioil Spray,1 de 3,Aceite de Linaza,2.0,Litros (L),3400.0,68.0,L,1,Pulverizadora,P.A.,0,0,0,2025-08-07,12.0,4.0,64.0,9.0,CEREZOS CORTE 1
2025-08-06,6,Cerezos,Santina,Cancer Bacteria,Nordox 75 WG,1 de 5,Cobre,0.2,Kilogramos (kg),3400.0,6.8,kg,1,Pulverizadora,P.A.,0,0,0,2025-08-07,12.0,4.0,64.0,9.0,CEREZOS CORTE 1
2025-01-28,7,Cerezos,Santina,Fertilizante,Ácido Fosfórico,No aplica,Ácido Fosfórico,0.2,Kilogramos (kg),3400.0,6.8,kg,1,Pulverizadora,P.A.,0,0,0,2025-01-29,26.0,15.0,33.0,16.0,CEREZOS CORTE 1
2025-01-31,8,Cerezos,Santina,Fertilizante,Urea,No aplica,Urea,0.15,Kilogramos (kg),3400.0,5.1,kg,1,Pulverizadora,P.A.,0,0,0,2025-02-01,26.0,15.0,38.0,15.0,CEREZOS CORTE 1
2025-01-31,9,Cerezos,Santina,Arañita,Magister,1 de 1,Fenazaquina,0.05,Kilogramos (kg),3400.0,1.7,kg,1,Pulverizadora,P.A.,1,0,2,2025-02-03,26.0,15.0,38.0,15.0,CEREZOS CORTE 1
