fecha,n_orden,especie,variedad,motivo,producto,n_app_txt,ingrediente,dosis,unidad_dosis,vol_total,gasto_total,unidad_gasto,tractor,maquina,aplicadores,car_etiqueta,car_agenda,car_mayor,fecha_viable,t_max,t_min,hr,viento,sector
2025-06-30,0,Ciruelos,D'Agen,Cancer bacterial,Nordox 75 WG,No aplica,Cobre,0.2,Kilogramos (kg),7000.0,14.0,kg,1,Pulverizadora,P.A.,0,0,0,2025-07-01,14.0,4.0,33.0,10.0,CIRUELOS
2025-07-04,3,Ciruelos,D'Agen,Cancer bacterial,Nordox 75 WG,No aplica,Cobre,0.2,Kilogramos (kg),7000.0,14.0,kg,1,Pulverizadora,P.A.,0,0,0,2025-07-05,14.0,5.0,45.0,9.0,CIRUELOS
2025-07-15,1,Ciruelos,D'Agen,Unifica y adelanta floración,Nexus,1 de 3,Cianamida,2.0,Litros (L),7000.0,140.0,L,1,Pulverizadora,P.A.,0,0,0,2025-07-16,12.0,5.0,84.0,9.0,CIRUELOS
2025-07-15,2,Ciruelos,D'Agen,Coadyuvante,Break,No aplica,tensioactivo organosilícico,0.15,Litros (L),7000.0,10.5,L,1,Pulverizadora,P.A.,0,0,0,2025-07-16,12.0,5.0,84.0,9.0,CIRUELOS
2025-07-21,4,Ciruelos,D'Agen,Protegen cultivos a bajas temperaturas,Biolife psychro 250,No aplica,Trichoderma atroviride y Bacillus,0.025,Kilogramos (kg),7000.0,1.75,kg,1,Pulverizadora,P.A.,0,0,0,2025-07-22,13.0,4.0,54.0,9.0,CIRUELOS
2025-08-11,5,Ciruelos,D'Agen,Regulador del crecimiento de los insectos,Piriproxifen 100 EC,1 de 1,Piriproxifen,0.07,Litros (L),14000.0,9.8,L,1,Pulverizadora,P.A.,14,7,14,2025-08-26,14.0,5.0,40.0,9.0,CIRUELOS
2025-08-19,6,Ciruelos,D'Agen,Cancer bacterial,Cuproso,No aplica,Cobre,0.2,Kilogramos (kg),10500.0,21.0,kg,1,Nebulizadora,P.A.,0,0,0,2025-08-20,17.0,8.0,73.0,10.0,CIRUELOS
2025-08-19,7,Ciruelos,D'Agen,Control de la maleza,Alion,1 de 1,Indaziflam,0.06,Litros (L),1600.0,0.96,L,1,Pulverizadora,P.A.,0,0,0,2025-08-20,17.0,7.0,38.0,7.0,CIRUELOS
2025-08-19,8,Ciruelos,D'Agen,Control de la maleza,Tango 24 EC,1 de 2,Oxifluorfeno,0.2,Litros (L),400.0,0.8,L,1,Pulverizadora,P.A.,0,0,0,2025-08-20,17.0,7.0,38.0,7.0,CIRUELOS
2025-08-19,9,Ciruelos,D'Agen,Control de la maleza,Panzer,1 de 5,Glifosato,0.56,Litros (L),3200.0,17.92,L,1,Pulverizadora,P.A.,0,0,0,2025-08-20,17.0,7.0,38.0,7.0,CIRUELOS
2025-08-21,10,Ciruelos,D'Agen,Antihelada,Frostop,No aplica,Resinas acrílicas,0.3,Litros (L),7000.0,21.0,L,1,Pulverizadora,P.A.,0,0,0,2025-08-22,14.0,3.0,55.0,13.0,CIRUELOS
2025-08-27,11,Ciruelos,D'Agen,Enfermedades fungosas,Tebuconazol,1 de 2,Tebuconazol,0.04,Litros (L),10500.0,4.2,L,1,Pulverizadora,P.A.,7,15,15,2025-09-12,21.0,10.0,54.0,9.0,CIRUELOS
2025-08-27,12,Ciruelos,D'Agen,Eficiencia en la absorción,Stoller Boro,1 de 3,Boro,0.13,Litros (L),10500.0,13.65,L,1,Pulverizadora,P.A.,0,0,0,2025-08-28,21.0,10.0,54.0,9.0,CIRUELOS
2025-09-02,13,Ciruelos,D'Agen,Enfermedades fungosas,Captan 80 WG,1 de 2,Captan 80 WG,0.18,Litros (L),10500.0,18.9,L,1,Pulverizadora,P.A.,1,0,1,2025-09-04,14.0,5.0,57.0,11.0,CIRUELOS
2025-09-02,14,Ciruelos,D'Agen,Fitorregulador,Thidiazuron,1 de 2,Tidiazuron,0.5,Litros (L),10500.0,52.5,kg,1,Pulverizadora,P.A.,0,0,0,2025-09-03,14.0,5.0,57.0,11.0,CIRUELOS
2025-09-03,15,Ciruelos,D'Agen,Proliferación de patógenos,Fenbuconazole,1 de 4,Fenbuconazole,0.06,Litros (L),10500.0,6.3,L,1,Pulverizadora,P.A.,7,0,0,2025-09-04,17.0,6.0,62.0,10.0,CIRUELOS
2025-09-03,16,Ciruelos,D'Agen,Eficiencia en la absorción,Boro,No aplica,Boro,0.13,Litros (L),10500.0,13.65,L,1,Pulverizadora,P.A.,0,0,0,2025-09-04,17.0,6.0,62.0,10.0,CIRUELOS
